Loan_ID,Customer_ID,Application_Date,Loan_Amount,Loan_Purpose,Interest_Rate,Loan_Term,Income,Employment_Type,Credit_Score,Existing_Loans,Debt_to_Income_Ratio,Application_Status,Default_Status,Repayment_Status,Branch,State,Gender
L100000,C50525,2023-06-28,809144,Personal,10.04,36,,Salaried,,2,18.3,Approved,No Default,Delayed,Hyderabad,Maharashtra,Male
L100001,C52767,2023-02-03,1297115,Personal,21.01,36,88731.0,Self-employed,717.0,4,26.2,Approved,No Default,On Time,Chennai,Tamil Nadu,Male
L100002,C51184,2023-05-23,522608,Vehicle,18.26,12,34244.0,Salaried,663.0,5,13.5,Approved,No Default,Missed,Chennai,Tamil Nadu,Female
L100003,C50410,2024-02-29,734128,Education,20.9,36,147110.0,Business Owner,460.0,2,6.4,Rejected,No Default,On Time,Hyderabad,Delhi,Female
L100004,C51769,2023-06-26,1168407,Home,12.01,36,121957.0,Business Owner,709.0,5,23.9,Approved,No Default,Delayed,Mumbai,Delhi,Female
L100005,C52909,2023-10-20,1473393,Personal,16.21,12,168950.0,Self-employed,850.0,0,47.3,Approved,No Default,On Time,Delhi,Tamil Nadu,Male
L100006,C52760,2023-11-03,1708791,Education,20.55,36,143227.0,Salaried,414.0,5,51.4,Rejected,No Default,Missed,Bangalore,Telangana,Female
L100007,C50622,2024-02-29,736138,Home,19.84,60,199304.0,Self-employed,354.0,2,25.0,Rejected,No Default,On Time,Bangalore,Karnataka,Male
L100008,C51357,2024-09-25,1107734,Home,8.61,24,124803.0,Freelancer,777.0,1,23.8,Approved,No Default,Delayed,Chennai,Delhi,Female
L100009,C51334,2024-10-02,800455,Education,10.43,36,130398.0,Business Owner,587.0,0,12.6,Approved,No Default,Missed,Hyderabad,Delhi,Female
L100010,C52383,2023-01-11,205856,Home,12.65,60,59603.0,Self-employed,452.0,2,32.8,Pending,Default,Missed,Chennai,Tamil Nadu,Male
L100011,C51649,2024-07-20,375468,Business,20.18,36,98902.0,Self-employed,657.0,0,48.1,Approved,No Default,On Time,Chennai,Maharashtra,Female
L100012,C53480,2024-08-10,1253885,Business,15.55,24,32661.0,Business Owner,649.0,2,47.8,Approved,No Default,Missed,Bangalore,Delhi,Female
L100013,C53460,2024-12-04,1092485,Education,18.7,12,172607.0,Salaried,669.0,4,49.7,Approved,No Default,On Time,Bangalore,Telangana,Male
L100014,C50517,2024-03-05,1594240,Education,14.64,60,160070.0,Self-employed,369.0,3,38.9,Rejected,Default,Missed,Mumbai,Tamil Nadu,Female
L100015,C51542,2024-07-15,1123785,Education,11.82,12,89996.0,Self-employed,558.0,4,55.1,Pending,Default,Missed,Bangalore,Karnataka,Female
L100016,C51035,2023-09-18,360245,Vehicle,8.55,60,150130.0,Business Owner,547.0,3,53.8,Pending,No Default,Delayed,Bangalore,Tamil Nadu,Female
L100017,C52840,2024-10-15,210066,Education,8.4,12,98940.0,Business Owner,400.0,0,36.6,Rejected,No Default,Delayed,Chennai,Maharashtra,Female
L100018,C50593,2024-10-08,1830867,Education,22.24,24,57756.0,Salaried,677.0,5,35.7,Approved,Default,On Time,Mumbai,Karnataka,Female
